Profession,Category
Asistentes de producción de audio y sonido,Manufactura y Producción
Técnicos en telecomunicaciones,Otros (Sin Clasificación Específica)
Supervisores de telecomunicaciones,Otros (Sin Clasificación Específica)
Operadores de radio,Otros (Sin Clasificación Específica)
Oficinistas generales,Otros (Sin Clasificación Específica)
Auxiliares de aduana,Otros (Sin Clasificación Específica)
Secretarios generales,Otros (Sin Clasificación Específica)
Operadores de máquinas de procesamiento de texto y mecanógrafos,Otros (Sin Clasificación Específica)
Grabadores de datos,Otros (Sin Clasificación Específica)
Digitadores,Otros (Sin Clasificación Específica)
Cajeros de bancos y afines,"Finanzas, Contabilidad y Negocios"
Receptores de apuestas y afines,Otros (Sin Clasificación Específica)
Prestamistas,Otros (Sin Clasificación Específica)
"Cobradores, auxiliares de cartera y afines",Otros (Sin Clasificación Específica)
Empleados de ventas y servicios de viajes,Atención al Cliente y Ventas
Empleados de centros de llamadas,Otros (Sin Clasificación Específica)
Telefonistas,Otros (Sin Clasificación Específica)
Recepcionistas de hoteles,Turismo y Hostelería
Auxiliares de información y servicio al cliente,Atención al Cliente y Ventas
Informadores turísticos,Educación y Formación
Recepcionistas generales,Otros (Sin Clasificación Específica)
Entrevistadores de encuestas y de investigaciones de mercados,Otros (Sin Clasificación Específica)
Auxiliares administrativos en salud,Salud y Medicina
Otros empleados de servicios de información al cliente no clasificados en otras ocupaciones,Atención al Cliente y Ventas
"Auxiliares de contabilidad, costos y tesorería",Otros (Sin Clasificación Específica)
Auxiliares de servicios estadísticos y financieros,Atención al Cliente y Ventas
Auxiliares de avalúos,Otros (Sin Clasificación Específica)
Auxiliares de nómina y prestaciones,Otros (Sin Clasificación Específica)
Auxiliares de almacén y pesaje,Otros (Sin Clasificación Específica)
Auxiliares de compras e inventarios,Otros (Sin Clasificación Específica)
Empleados de servicios de apoyo a la producción,Atención al Cliente y Ventas
Empleados y operarios de servicios de transporte,Atención al Cliente y Ventas
Inspectores y controladores de transporte,Transporte y Logística
Empleados de bibliotecas,Otros (Sin Clasificación Específica)
Empleados de servicios de correos,Atención al Cliente y Ventas
"Codificadores de datos, correctores de pruebas de imprenta y afines",Otros (Sin Clasificación Específica)
Escribientes públicos y afines,Otros (Sin Clasificación Específica)
Empleados de archivos,Otros (Sin Clasificación Específica)
Auxiliares de talento humano,Otros (Sin Clasificación Específica)
Auxiliares de seguridad en el trabajo,Seguridad y Defensa
Auxiliares de publicación y afines,Otros (Sin Clasificación Específica)
Otro personal de apoyo administrativo no clasificados en otras ocupaciones,Otros (Sin Clasificación Específica)
Personal de servicio a pasajeros,Atención al Cliente y Ventas
Revisores y cobradores de los transportes públicos,Transporte y Logística
Guías de turismo,Turismo y Hostelería
Anfitriones turísticos locales,Otros (Sin Clasificación Específica)
Cocineros,Turismo y Hostelería
Sabedores de la cocina tradicional,Otros (Sin Clasificación Específica)
Meseros y capitanes de meseros,Otros (Sin Clasificación Específica)
Bartenders,Otros (Sin Clasificación Específica)
Baristas,Otros (Sin Clasificación Específica)
Peluqueros,Otros (Sin Clasificación Específica)
Manicuristas y pedicuristas,Otros (Sin Clasificación Específica)
Cosmetólogos esteticistas,Otros (Sin Clasificación Específica)
Maquilladores,Otros (Sin Clasificación Específica)
Asesores de imagen,Otros (Sin Clasificación Específica)
Otras ocupaciones elementales de los servicios no clasificados en otras ocupaciones,Atención al Cliente y Ventas
"Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos",Turismo y Hostelería
Ecónomos y mayordomos domésticos,Otros (Sin Clasificación Específica)
Conserjes y afines,Otros (Sin Clasificación Específica)
"Astrólogos, adivinos y afines",Otros (Sin Clasificación Específica)
Acompañantes,Otros (Sin Clasificación Específica)
Tanatopractores,"Arte, Cultura y Entretenimiento"
Coordinadores de servicios funerarios,Atención al Cliente y Ventas
Personal de servicios funerarios,Atención al Cliente y Ventas
Cuidadores de animales,Otros (Sin Clasificación Específica)
Instructores de conducción,Otros (Sin Clasificación Específica)
Otros trabajadores de servicios personales no clasificados en otras ocupaciones,Atención al Cliente y Ventas
Vendedores en quioscos y puestos de mercado,Atención al Cliente y Ventas
Vendedores ambulantes de alimentos preparados para consumo inmediato,Atención al Cliente y Ventas
Comerciantes de tiendas,Otros (Sin Clasificación Específica)
Supervisores de tiendas y almacenes,Otros (Sin Clasificación Específica)
"Vendedores y auxiliares de venta en tiendas, almacenes y afines",Atención al Cliente y Ventas
"Cajeros de comercio, taquilleros y expendedores de boletas",Otros (Sin Clasificación Específica)
"Modelos de moda, arte y publicidad",Comunicación y Marketing
"Demostradores de tiendas, almacenes y afines",Otros (Sin Clasificación Específica)
Vendedores puerta a puerta,Atención al Cliente y Ventas
Vendedores a través de medios tecnológicos,Atención al Cliente y Ventas
Expendedores de combustibles para vehículos,Otros (Sin Clasificación Específica)
Vendedores de comidas en mostrador,Atención al Cliente y Ventas
Otros vendedores no clasificados en otras ocupaciones,Atención al Cliente y Ventas
Cuidadores de niños,Otros (Sin Clasificación Específica)
Auxiliares de maestros y primera infancia,Otros (Sin Clasificación Específica)
Trabajadores de los cuidados personales en instituciones,Otros (Sin Clasificación Específica)
Trabajadores de los cuidados personales a domicilio,Otros (Sin Clasificación Específica)
Auxiliares en enfermería,Otros (Sin Clasificación Específica)
Auxiliares de salud oral,Salud y Medicina
Auxiliares en salud pública,Salud y Medicina
Auxiliares de laboratorio clínico,Otros (Sin Clasificación Específica)
Auxiliares de droguería y farmacia,Otros (Sin Clasificación Específica)
Trabajadores de los cuidados personales en servicios de salud no clasificados en otras ocupaciones,Salud y Medicina
Oficiales de bomberos,Seguridad y Defensa
Suboficiales de bomberos,Seguridad y Defensa
Bomberos,Seguridad y Defensa
Rescatistas,Otros (Sin Clasificación Específica)
Oficiales de policía,Seguridad y Defensa
Suboficiales y nivel ejecutivo de la policía,Seguridad y Defensa
Patrulleros y agentes de policía,Seguridad y Defensa
Auxiliares de policía,Seguridad y Defensa
Oficiales del cuerpo de custodia y vigilancia,Otros (Sin Clasificación Específica)
Suboficiales del cuerpo de custodia y vigilancia,Otros (Sin Clasificación Específica)
Guardianes de prisión,Otros (Sin Clasificación Específica)
Supervisores de vigilantes,Seguridad y Defensa
Vigilantes y guardias de seguridad,Seguridad y Defensa
Guardavidas y salvavidas,Otros (Sin Clasificación Específica)
Agentes de tránsito,Otros (Sin Clasificación Específica)
Técnicos operativos de tránsito,Otros (Sin Clasificación Específica)
Personal de los servicios de protección no clasificadas en otras ocupaciones,Atención al Cliente y Ventas
Agricultores de cultivos extensivos,Agricultura y Medio Ambiente
Trabajadores agrícolas calificados de cultivos extensivos,Otros (Sin Clasificación Específica)
Trabajadores calificados de riego agrícola,Otros (Sin Clasificación Específica)
Agricultores de plantaciones de árboles y arbustos,Agricultura y Medio Ambiente
Trabajadores agrícolas calificados de plantaciones de árboles y arbustos,Otros (Sin Clasificación Específica)
"Agricultores de huertas, invernaderos, viveros y jardines",Agricultura y Medio Ambiente
"Trabajadores agrícolas calificados de huertas, invernaderos, viveros y jardines",Otros (Sin Clasificación Específica)
Agricultores y trabajadores calificados de cultivos mixtos,Agricultura y Medio Ambiente
Criadores de animales (excepto aves de corral),Otros (Sin Clasificación Específica)
Trabajadores calificados de la cría de animales (excepto aves de corral),Otros (Sin Clasificación Específica)
Avicultores,Otros (Sin Clasificación Específica)
Trabajadores calificados de la avicultura,Otros (Sin Clasificación Específica)
Criadores y trabajadores calificados de la apicultura y la sericicultura,Otros (Sin Clasificación Específica)
"Criadores y trabajadores pecuarios calificados, avicultores y criadores de insectos no clasificados en otras ocupaciones",Agricultura y Desarrollo Rural
Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya producción se destina al mercado,Manufactura y Producción
Trabajadores calificados de explotación forestal,Agricultura y Medio Ambiente
Trabajadores de silvicultura y forestación,Otros (Sin Clasificación Específica)
Productores de acuicultura,Otros (Sin Clasificación Específica)
Trabajadores acuícolas calificados,Otros (Sin Clasificación Específica)
Capitanes y patrones de pesca de aguas dulces y costeras,Otros (Sin Clasificación Específica)
Pescadores de aguas dulces y costeras,Otros (Sin Clasificación Específica)
Capitanes y patrones de pesca de alta mar,Otros (Sin Clasificación Específica)
Pescadores de alta mar,Otros (Sin Clasificación Específica)
Cazadores y tramperos,Otros (Sin Clasificación Específica)
Trabajadores agrícolas de subsistencia,Otros (Sin Clasificación Específica)
Trabajadores pecuarios de subsistencia,Agricultura y Desarrollo Rural
Trabajadores agropecuarios de subsistencia,Agricultura y Desarrollo Rural
"Pescadores, cazadores, tramperos y recolectores de subsistencia",Otros (Sin Clasificación Específica)
Constructores de casas,Construcción e Infraestructura
Albañiles y oficiales de construcción,Construcción e Infraestructura
"Labrantes, tronzadores y grabadores de piedra",Otros (Sin Clasificación Específica)
"Operarios en cemento armado, enfoscadores y afines",Manufactura y Producción
Carpinteros de armar y de obra blanca,Construcción e Infraestructura
Oficiales y operarios de la construcción de obra gruesa y afines no clasificados en otras ocupaciones,Manufactura y Producción
Techadores,Otros (Sin Clasificación Específica)
Enchapadores,Otros (Sin Clasificación Específica)
Instaladores de pisos,Otros (Sin Clasificación Específica)
Revocadores,Otros (Sin Clasificación Específica)
Instaladores de material aislante y de insonorización,Otros (Sin Clasificación Específica)
Cristaleros y vidrieros,Otros (Sin Clasificación Específica)
Fontaneros y plomeros,Otros (Sin Clasificación Específica)
Instaladores de tuberías para sistemas de extinción de incendios,Otros (Sin Clasificación Específica)
Instaladores de redes y equipos a gas,Otros (Sin Clasificación Específica)
Operarios de mantenimiento de redes de abastecimiento de agua y gas,Manufactura y Producción
Mecánicos montadores de aire acondicionado y refrigeración,Otros (Sin Clasificación Específica)
Pintores y empapeladores,Otros (Sin Clasificación Específica)
Barnizadores y afines,Otros (Sin Clasificación Específica)
Limpiadores de fachadas y deshollinadores,Otros (Sin Clasificación Específica)
"Operarios de fundición, moldeadores y macheros",Manufactura y Producción
Soldadores y oxicortadores,Otros (Sin Clasificación Específica)
Chapistas y caldereros,Otros (Sin Clasificación Específica)
Latoneros,Otros (Sin Clasificación Específica)
Montadores de estructuras metálicas,Otros (Sin Clasificación Específica)
Aparejadores,Otros (Sin Clasificación Específica)
Instaladores y empalmadores de cables,Otros (Sin Clasificación Específica)
Herreros y forjadores,Otros (Sin Clasificación Específica)
Herramentistas y afines,Otros (Sin Clasificación Específica)
Ajustadores y operadores de máquinas herramientas,Otros (Sin Clasificación Específica)
Pulidores de metales y afiladores de herramientas,Otros (Sin Clasificación Específica)
Mecánicos y reparadores de vehículos de motor,Otros (Sin Clasificación Específica)
Mecánicos y reparadores de sistemas y motores de aeronaves,Otros (Sin Clasificación Específica)
Mecánicos industriales,Otros (Sin Clasificación Específica)
Mecánicos de equipo pesado,Otros (Sin Clasificación Específica)
"Mecánicos de maquinaria textil, confección, cuero, calzado y marroquinería",Otros (Sin Clasificación Específica)
Marineros de sala de máquinas,Otros (Sin Clasificación Específica)
Auxiliares en automatización e instrumentación industrial,Otros (Sin Clasificación Específica)
Reparadores de bicicletas y afines,Otros (Sin Clasificación Específica)
Mecánicos y reparadores de instrumentos de precisión,Otros (Sin Clasificación Específica)
Fabricantes y afinadores de instrumentos musicales,Otros (Sin Clasificación Específica)
Alfareros y ceramistas (barro y arcilla),Otros (Sin Clasificación Específica)
"Operarios de fabricación, moldeo y acabado del vidrio",Manufactura y Producción
Artesanos trabajos en vidrio,Otros (Sin Clasificación Específica)
"Rotulistas, pintores decorativos y grabadores",Otros (Sin Clasificación Específica)
Pre-impresores y pre-prensistas de artes gráficas,Otros (Sin Clasificación Específica)
Tipógrafos,Otros (Sin Clasificación Específica)
Impresores de artes gráficas,Otros (Sin Clasificación Específica)
Encuadernadores y afines,Otros (Sin Clasificación Específica)
Tejedores con telares,Otros (Sin Clasificación Específica)
Tejedores con agujas,Otros (Sin Clasificación Específica)
Otros tejedores,Otros (Sin Clasificación Específica)
Cesteros y mimbreros,Otros (Sin Clasificación Específica)
Sombrereros artesanales,Otros (Sin Clasificación Específica)
Talladores de piezas artesanales de madera,Otros (Sin Clasificación Específica)
Decoradores de piezas artesanales en madera,Otros (Sin Clasificación Específica)
Joyeros,Otros (Sin Clasificación Específica)
Orfebres y plateros,Otros (Sin Clasificación Específica)
Bisuteros,Otros (Sin Clasificación Específica)
Artesanos del cuero,Otros (Sin Clasificación Específica)
Artesanos de papel,Otros (Sin Clasificación Específica)
Artesanos del hierro y otros metales,Otros (Sin Clasificación Específica)
Artesanos de las semillas y cortezas vegetales,Otros (Sin Clasificación Específica)
Artesanos trabajos en materiales líticos,Otros (Sin Clasificación Específica)
Artesanos de otros materiales no clasificados en otras ocupaciones,Otros (Sin Clasificación Específica)
"Electricistas de obra, residenciales y afines",Energía y Minería
Ayudantes electricistas,Energía y Minería
Electricistas industriales,Energía y Minería
Reparadores de aparatos electrodomésticos,Otros (Sin Clasificación Específica)
Mecánicos electricistas,Energía y Minería
Instaladores y reparadores de líneas eléctricas,Otros (Sin Clasificación Específica)
"Ajustadores, reparadores e instaladores en electrónica",Otros (Sin Clasificación Específica)
Técnicos instaladores de redes y líneas de telecomunicaciones,Otros (Sin Clasificación Específica)
"Auxiliares técnicos de instalación, mantenimiento y reparación de sistemas de telecomunicaciones",Otros (Sin Clasificación Específica)
Operarios de mantenimiento y servicio de televisión por cable,Atención al Cliente y Ventas
"Carniceros, pescaderos y afines",Otros (Sin Clasificación Específica)
"Panaderos, pasteleros y confiteros",Otros (Sin Clasificación Específica)
Transformadores de caña panelera,Educación y Formación
Operarios de la elaboración de productos lácteos,Manufactura y Producción
"Operarios de la conservación de frutas, legumbres, verduras y afines",Manufactura y Producción
Catadores y clasificadores de alimentos y bebidas,Otros (Sin Clasificación Específica)
Preparadores y elaboradores de cigarros y productos del tabaco,Otros (Sin Clasificación Específica)
Operarios del tratamiento de la madera,Manufactura y Producción
Ebanistas y carpinteros (excluye carpinteros de armar y de obra blanca),Construcción e Infraestructura
Ajustadores y operadores de máquinas para trabajar madera,Otros (Sin Clasificación Específica)
"Sastres, modistos, peleteros y sombrereros",Otros (Sin Clasificación Específica)
"Patronistas de productos de tela, cuero y piel",Otros (Sin Clasificación Específica)
"Cortadores de tela, cuero y piel",Otros (Sin Clasificación Específica)
"Costureros, bordadores y afines",Otros (Sin Clasificación Específica)
"Tapiceros, colchoneros y afines",Otros (Sin Clasificación Específica)
"Apelambradores, pellejeros y curtidores",Otros (Sin Clasificación Específica)
Zapateros y afines,Otros (Sin Clasificación Específica)
Buzos,Otros (Sin Clasificación Específica)
Dinamiteros y pegadores,Otros (Sin Clasificación Específica)
Analistas de calidad de textiles,Otros (Sin Clasificación Específica)
"Inspectores de control de calidad, fabricación de productos de tela, piel y cuero",Otros (Sin Clasificación Específica)
"Inspectores de control de calidad, procesamiento de la madera",Otros (Sin Clasificación Específica)
Clasificadores y probadores de productos (excluyendo alimentos y bebidas) no clasificados en otras ocupaciones,Otros (Sin Clasificación Específica)
Fumigadores y otros controladores de plagas y malas hierbas,Otros (Sin Clasificación Específica)
"Otros oficiales, operarios y oficios relacionados no clasificados",Manufactura y Producción
Mineros y canteros,Energía y Minería
Operadores de servicios e instalaciones mineras,Atención al Cliente y Ventas
Operadores de equipo pesado de minería,Otros (Sin Clasificación Específica)
Operadores de instalaciones de procesamiento de minerales y rocas,Otros (Sin Clasificación Específica)
Perforadores de pozos de gas y petróleo,Otros (Sin Clasificación Específica)
Perforadores de pozos de agua,Otros (Sin Clasificación Específica)
Operadores de servicios en perforación de petróleo y gas,Atención al Cliente y Ventas
Operadores de producción de hidrocarburos,Manufactura y Producción
Operadores de servicios a pozos de hidrocarburos,Atención al Cliente y Ventas
Operadores torres de perforación de pozos hidrocarburos,Otros (Sin Clasificación Específica)
Operadores de máquinas para fabricar cemento y otros productos minerales,Otros (Sin Clasificación Específica)
Operadores de instalaciones de procesamiento de metales,Otros (Sin Clasificación Específica)
"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales",Otros (Sin Clasificación Específica)
Operadores de máquinas de planta química,Otros (Sin Clasificación Específica)
Operadores de planta de gas,Otros (Sin Clasificación Específica)
Operadores de máquinas y procesadores fotográficos y de películas,Otros (Sin Clasificación Específica)
Operadores de máquinas para fabricar productos de caucho,Otros (Sin Clasificación Específica)
Operadores de máquinas para fabricar productos de material plástico,Otros (Sin Clasificación Específica)
Operadores de máquinas para fabricar productos de papel,Otros (Sin Clasificación Específica)
"Operadores de máquinas de preparación de fibras, hilado y devanado",Otros (Sin Clasificación Específica)
Operadores de telares y otras máquinas tejedoras,Otros (Sin Clasificación Específica)
Operadores de máquinas de coser y bordar,Otros (Sin Clasificación Específica)
"Operadores de máquinas de blanqueamiento, teñido y limpieza de tejidos",Otros (Sin Clasificación Específica)
Operadores de máquinas de tratamiento de pieles y cueros,Otros (Sin Clasificación Específica)
Operadores de máquinas para la fabricación de calzado y afines,Otros (Sin Clasificación Específica)
Operadores de máquinas de lavandería,Otros (Sin Clasificación Específica)
Operadores de máquinas para fabricar productos textiles y artículos de piel y cuero no clasificadas en otras ocupaciones,Otros (Sin Clasificación Específica)
Operadores de máquinas para elaborar alimentos y productos afines,Otros (Sin Clasificación Específica)
Operadores de máquinas para la fabricación de papel,Otros (Sin Clasificación Específica)
Operadores de máquinas para la producción de pulpa,Manufactura y Producción
Operadores de instalaciones de procesamiento de la madera,Otros (Sin Clasificación Específica)
"Operadores de fabricación, moldeo y acabado del vidrio",Otros (Sin Clasificación Específica)
Operadores de moldeo de arcilla y piedra,Otros (Sin Clasificación Específica)
Operadores de máquinas de vapor y calderas,Otros (Sin Clasificación Específica)
"Operadores de máquinas de embalaje, embotellamiento y etiquetado",Otros (Sin Clasificación Específica)
Operadores portuarios,Otros (Sin Clasificación Específica)
Otros operadores de máquinas y de instalaciones fijas no clasificados en otras ocupaciones,Otros (Sin Clasificación Específica)
Ensambladores de maquinaria mecánica,Otros (Sin Clasificación Específica)
Ensambladores de productos electrónicos,Otros (Sin Clasificación Específica)
Ensambladores de aparatos y equipo eléctrico,Otros (Sin Clasificación Específica)
Ensambladores de transformadores y motores eléctricos industriales,Educación y Formación
Operadores de máquinas para la fabricación de productos y componentes eléctricos,Otros (Sin Clasificación Específica)
Ensambladores no clasificados en otras ocupaciones,Otros (Sin Clasificación Específica)
Maquinistas de transporte ferroviario,Transporte y Logística
"Guardafrenos, guardagujas y agentes de maniobras",Otros (Sin Clasificación Específica)
Conductores de motocicletas,Transporte y Logística
Conductores de camionetas y vehículos livianos,Transporte y Logística
Conductores de taxis,Transporte y Logística
"Conductores de buses, microbuses y tranvías",Transporte y Logística
Conductores de camiones y vehículos pesados,Transporte y Logística
Operadores de maquinaria agrícola y forestal móvil,Agricultura y Medio Ambiente
"Operadores de máquinas de movimiento de tierras, construcción de vías y afines",Otros (Sin Clasificación Específica)
"Operadores de grúas, aparatos elevadores y afines",Otros (Sin Clasificación Específica)
Operadores de montacargas,Otros (Sin Clasificación Específica)
Marineros de cubierta y de apoyo,Otros (Sin Clasificación Específica)
Operadores de embarcaciones menores,Otros (Sin Clasificación Específica)
Personal de servicio doméstico,Atención al Cliente y Ventas
"Aseadores de oficinas, hoteles y otros establecimientos",Turismo y Hostelería
Lavanderos y planchadores manuales,Otros (Sin Clasificación Específica)
Lavadores de vehículos,Otros (Sin Clasificación Específica)
Limpiadores de ventanas y vitrinas,Otros (Sin Clasificación Específica)
Otro personal de limpieza no clasificados en otras ocupaciones,Otros (Sin Clasificación Específica)
Obreros y peones de explotaciones agrícolas,Otros (Sin Clasificación Específica)
Obreros y peones de explotaciones ganaderas,Otros (Sin Clasificación Específica)
Obreros y peones de explotaciones agropecuarias,Otros (Sin Clasificación Específica)
Obreros y peones de jardinería y horticultura,Otros (Sin Clasificación Específica)
Obreros y peones forestales y de silvicultura,Agricultura y Medio Ambiente
Obreros y peones de pesca y acuicultura,Otros (Sin Clasificación Específica)
Obreros y peones de minas y canteras,Otros (Sin Clasificación Específica)
Obreros y ayudantes de producción en pozos de petróleo y gas,Manufactura y Producción
Obreros y peones de obras públicas y mantenimiento,Otros (Sin Clasificación Específica)
Obreros y operarios de cementerios,Manufactura y Producción
Obreros y peones de la construcción,Otros (Sin Clasificación Específica)
Empacadores manuales,Otros (Sin Clasificación Específica)
Obreros y ayudantes en el procesamiento de la madera y producción de pulpa y papel,Manufactura y Producción
Obreros y ayudantes en el tratamiento de metales y minerales,Otros (Sin Clasificación Específica)
Obreros y ayudantes de planta química,Otros (Sin Clasificación Específica)
Obreros y ayudantes en la elaboración de alimentos y bebidas,Otros (Sin Clasificación Específica)
Obreros y peones de la industria manufacturera no clasificados en otras ocupaciones,Otros (Sin Clasificación Específica)
Conductores de vehículos accionados a pedal o a brazo,Transporte y Logística
Conductores de vehículos y maquinaria de tracción animal,Transporte y Logística
Obreros y peones de carga y descarga,Otros (Sin Clasificación Específica)
Obreros y peones portuarios,Otros (Sin Clasificación Específica)
Operarios y auxiliares de rampa de transporte aéreo,Manufactura y Producción
Ayudantes de transporte automotor,Transporte y Logística
Surtidores de estanterías,Otros (Sin Clasificación Específica)
Cocineros de comidas rápidas,Turismo y Hostelería
Ayudantes de cocina,Otros (Sin Clasificación Específica)
Trabajadores ambulantes de servicios y afines,Atención al Cliente y Ventas
Vendedores ambulantes (excluyendo comidas de preparación inmediata),Atención al Cliente y Ventas
Recolectores de basura y material reciclable,Otros (Sin Clasificación Específica)
Clasificadores de desechos,Otros (Sin Clasificación Específica)
Barrenderos y afines,Otros (Sin Clasificación Específica)
"Mandaderos, maleteros y repartidores",Transporte y Logística
Mensajeros,Otros (Sin Clasificación Específica)
Personas que realizan trabajos varios,Otros (Sin Clasificación Específica)
Acarreadores de agua y recolectores de leña,Otros (Sin Clasificación Específica)
Recolectores de dinero y surtidores de máquinas de venta automática,Otros (Sin Clasificación Específica)
Lectores de medidores,Otros (Sin Clasificación Específica)
Auxiliares de servicios de recreación y deporte,Atención al Cliente y Ventas
Ayudantes de mecánica y servicio automotriz,Atención al Cliente y Ventas
Otras ocupaciones elementales no clasificadas en otras ocupaciones,Otros (Sin Clasificación Específica)
,Otros (Sin Clasificación Específica)
